Food Item,Serving Location
Fettuccine Alfredo (v),The Brick
Marble Cake (v),Bakery
Arroz con Pollo,Chef's Choice
Bean Rice & Cheese Burrito (v),Chef's Choice
Fire Roasted Tomato Chipotle Salsa (vgn),Chef's Choice
Cauliflower Au Gratin (v),Chef's Choice
Korean Style Pork Ribs,International
Korean BBQ Sauce (vgn),International
Vegetable Fried Rice (vgn),International
Fresh Spinach with Garlic (vgn),International
Calamari Sushi Plate,International
Pineapple (vgn),Greens & Grains
Grits (vgn),Greens & Grains
Hawaiian Sweet Roll (v),Bakery
Cinnamon Coffee Cake (v),Bakery
Whole Wheat French Toast (v),The Grill
Roasted Breakfast Potatoes (vgn),The Grill
Mixed Greens Side Salad (vgn),The Grill
Rainbow Peanut Noodles w/Chicken(w/nuts),Greens & Grains
Italian Tomato Panini (v),Greens & Grains
Sliced Swiss Cheese (v),Greens & Grains
Vegetable Minestrone Soup (vgn),Greens & Grains
Broccolini & Salami Stromboli,The Brick
Sausage Marinara Sauce,The Brick
Alburro Sauce (v),The Brick
Whole Wheat French Bread (v),Bakery
M&M Bar (w/nuts) (v),Bakery
Chocolate Mint Cupcake (v),Bakery
Grilled Rockfish with Italian Spice,Chef's Choice
Steamed Red Potatoes w/Parsley (vgn),Chef's Choice
Sauteed Kale Carrot & Snow Peas (vgn),Chef's Choice
Chicken Pad Thai with Peanut (w/nuts),International
Spicy Shrimp Sushi,International
Cucumber & Avocado Roll (vgn),International
Grilled BBQ Chicken Sandwich,The Grill
Cheese Quesadilla (v),The Grill
Sriracha Mayonnaise (v),The Grill
Classic BBQ Sauce (v),The Grill
Brownie Pie (v),Bakery
Chicken Piccata,Chef's Choice
Farfalle Pasta (vgn),Chef's Choice
Baked Rigatoni (v),Chef's Choice
Steamed Broccoli & Cauliflower (vgn),Chef's Choice
Fish Taco,International
Spanish Rice with Cilantro (vgn),International
Fire Roasted Tomato Salsa (vgn),International
Grilled Zucchini & Tomatoes (vgn),International
Spicy Shrimp Sushi Plate,International
White Pizza w/Bacon & Caramelized Onion,The Brick
Fresh Tomato Basil Garlic Pasta (vgn),The Brick
Pasta Carbonara,The Brick
Applesauce Coffee Cake (v),Bakery
Huevos Rancheros (v),Chef's Choice
Pinto Beans (vgn),Chef's Choice
Salsa (vgn),Chef's Choice
Black Bean & Rice Quesadilla (v),Chef's Choice
Greens and Beans Soup (vgn),Chef's Choice
Cage Free Scrambled Eggs w/Vegetables(v),The Grill
Banana Chocolate Chip Pancakes (v),The Grill
Sausage Links,The Grill
Sauteed Zucchini with Garlic (vgn),The Grill
Jasmine Rice (vgn),Greens & Grains
