Food Item,Serving Location
Mixed Greens Side Salad ,The Grill
Moroccan Braised Beef,Chef's Choice
Mujaddara Lentils and Rice ,International
Mushroom Barley Soup ,Greens & Grains
Mushroom Carbonara ,The Brick
Mushroom Lentil Burger ,The Grill
Oatmeal ,Greens & Grains
Oatmeal Apple Cinnamon Pancake ,The Grill
Oatmeal Raisin Bar  ,Bakery
Orange Infused Green Beans ,International
Orange Pickled Carrot Coins ,Salad Bar Featured Items
Organic Baby Spinach ,Greens & Grains
Organic Fresh Strawberry ,Greens & Grains
Orzo Pasta with Vegetables ,The Brick
Panini Pizza ,Greens & Grains
Pasta Primavera ,The Brick
Pasta Primavera w/Tomato Sauce ,The Brick
Pasta with Grilled Vegetables ,The Brick
PB Banana & Chia Overnight Oats(w/nut,Greens & Grains
Peach Yogurt ,Greens & Grains
Peanut Butter & Banana Oats  ,Greens & Grains
Peanut Butter Fudge Cupcake  ,Bakery
Pearl Barley ,Salad Bar Featured Items
Penne Pasta ,The Brick
Penne Pasta with Pesto ,The Brick
Penne w/Butternut Squash Sauce ,The Brick
Pesto Bread ,Bakery
Pickled Red Onion ,The Grill
Pilaf Style Rice with Corn,International
Pineapple ,Greens & Grains
Pineapple Fried Rice w/Tofu ,International
Pinto Beans ,Chef's Choice
Potato Bread ,Bakery
Potato Gorda with Black Beans ,Chef's Choice
Potato Latkes ,The Grill
Potato Vegetable Kugel ,Chef's Choice
Potatoes O'Brien ,The Grill
Pumpkin Bread  ,Bakery
Quinoa Breakfast Bowl  ,Greens & Grains
Quinoa Salad ,Greens & Grains
Raita Sauce ,Salad Bar Featured Items
Raspberry Swirl Coffee Cake,Bakery
Raspberry White Choc Muffin ,Bakery
Raspberry Yogurt ,Greens & Grains
Red Beans and Rice ,Chef's Choice
Red Chimichurri Sauce ,The Grill
Red Velvet Cupcake ,Bakery
Refried Beans ,The Grill
Refried Black Beans ,Chef's Choice
Rice Pilaf ,Chef's Choice
Rice with Cilantro & Onions ,International
Rigatoni Mozzarella ,The Brick
Roasted Breakfast Potato ,The Grill
Roasted Breakfast Potatoes ,The Grill
Roasted Broccoli ,Chef's Choice
Roasted Broccoli and Red Onion ,International
Roasted Cauliflower w/Garlic ,International
Roasted Cauliflower with Cumin ,Chef's Choice
Roasted Mixed Vegetables ,International
Roasted Potato Wedges ,Chef's Choice
Roasted Root Vegetables ,Chef's Choice
Roasted Tomato Salsa ,International
Roasted Vegetable Marinara Sauce ,The Brick
Roasted Vegetables ,The Grill
Roasted Yam w/Rosemary & Chile ,Chef's Choice
Salsa ,International
Sauteed Cabbage & Carrots ,Chef's Choice
Sauteed Cabbage & Tomatoes ,The Grill
Sauteed Fresh Cauliflower ,The Grill
Sauteed Kale ,The Grill
Sauteed Vegetables Rice and Beans ,International
Sauteed Zucchini with Garlic ,Chef's Choice
Scrambled Eggs w/Cheese & Mushroom ,The Grill
Seasoned Sweet Potato Halves ,International
Seasoned Vegetable Medley ,International
Seedless Red Grape ,Greens & Grains
Shoestring Fries ,The Grill
Shortbread Espresso Cookie ,Bakery
Sliced Cheddar Cheese ,Greens & Grains
Sliced Jack Cheese ,Greens & Grains
Sliced Pepper Jack Cheese ,Greens & Grains
Sliced Pineapple ,Greens & Grains
Sliced Provolone Cheese ,Greens & Grains
Sliced Swiss Cheese ,Greens & Grains
Smoked Fish Fritters w/Beet Vinaigrette,International
Snickerdoodle Cookie ,Bakery
Sourdough French Toast ,The Grill
Southwest Quinoa & Black Bean Bake ,Chef's Choice
Spaghetti ,The Brick
Spanish Rice ,Chef's Choice
Spicy Black Bean Soup ,Greens & Grains
Spicy Kale Caesar ,Greens & Grains
Spicy Marinara Sauce ,The Brick
Spicy Mustard Sauce ,The Grill
Spicy Shrimp Sushi Plate w/Brown Rice,International
Spicy Tuna Bowl,International
Spicy Watermelon Salad ,Salad Bar Featured Items
Spinach and Matzo Lasagna ,Chef's Choice
Spinach Quiche ,Chef's Choice
Spinach with Garlic & Ginger ,International
Steak Fries ,The Grill
Steamed Broccoli & Cauliflower ,International
Steamed Fresh Broccoli ,Chef's Choice
Steamed White Rice ,Greens & Grains
Steamed Zucchini & Crookneck Squash,Chef's Choice
Sticky Rice ,International
Stir Fried Bok Choy ,International
Stir Fried Chinese Greens ,International
Strawberry Yogurt ,Greens & Grains
Sugar Cookies ,Bakery
Sweet and Spicy Tofu ,Salad Bar Featured Items
Sweet Potato Hash ,Chef's Choice
Taco Pizza,The Brick
Taco Rajas ,International
Tacos Al Pastor,Chef's Choice
Tamale Pie Vegetarian ,Chef's Choice
Tangy Apple Cabbage Slaw ,Chef's Choice
Tartar Sauce ,The Grill
Tempura Onion Roll ,International
Teriyaki Chicken Rice Bowl,International
Thai & Peanut Coleslaw  ,Chef's Choice
Thai Tofu Curry w/ Vegetables ,International
Thai Vegetable & Peanut Noodle(w/nut,International
Three Cheese Flatbread ,The Brick
Three Cheese Pizza on Wheat ,The Brick
Three Cheese Pizza on White ,The Brick
Tomato Basil & Garlic Sauce ,The Brick
Tomato Basil Pizza on White ,The Brick
Tomato Rice Soup ,Chef's Choice
Tortilla Chips & Salsa ,Chef's Choice
Tortilla Soup ,Greens & Grains
Turkey Bacon,The Grill
Turkey Benedict,Chef's Choice
Turkey Meatloaf,Chef's Choice
Turkey Melt,Chef's Choice
Turkey Vegetable Soup,Greens & Grains
Vanilla Yogurt ,Greens & Grains
Vegetable & Quinoa Salad ,Greens & Grains
Vegetable Beef Soup,Greens & Grains
Vegetable Fajita ,Chef's Choice
Vegetable Fried Rice,International
Vegetable Medley Stir Fry ,International
Vegetable Minestrone Soup ,Chef's Choice
Vegetable Roll ,International
Vegetable Roll with Brown Rice ,International
Vegetable Soup ,Chef's Choice
Vegetable Wrap ,Greens & Grains
Vegetarian Taco Salad ,Greens & Grains
Vegetarian Tostada ,International
Vindaloo Chicken,International
Watermelon ,Greens & Grains
Watermelon Salad ,Greens & Grains
Wheat Germ Bread ,Bakery
White Cupcake with Buttercream Icing ,Bakery
Whole Plain Greek Yogurt ,Greens & Grains
Whole Wheat Banana Pancake ,The Grill
Whole Wheat Bread Sourdough ,Bakery
Whole Wheat French Bread ,Bakery
Whole Wheat French Toast ,The Grill
Whole Wheat Penne Pasta ,The Brick
Wild Rice ,Greens & Grains
Yellow Rice ,Chef's Choice
Zucchini Bread  ,Bakery
Zucchini Quinoa Green Bean Salad ,Greens & Grains
