Food Item,Rec 1,Rec 1 Location,Rec 2,Rec 2 Location,Rec 3,Rec 3 Location,Rec 4,Rec 4 Location
Roasted Cauliflower with Cumin (vgn),Beef Gravy,Chef's Choice,Honey Sriracha Glaze Brussel Sprouts ,Chef's Choice,Chicken Gyro,Chef's Choice,Egg & Arugula & Herb Tartine (v),Chef's Choice
Chicken Satay & Peanut Sauce (w/nuts),Spicy Eggplant Broc w/Ginger Sauce(vgn),International,California Club Roll,International,Chermoula Sauce (vgn),International,Salsa ,International
Roasted Red Onion & Zucchini (vgn),Bang Bang Broccoli ,International,Smoked Fish Fritters w/Beet Vinaigrette,International,Fresh Cauliflower & Broccoli Mix (vgn),International,Bang Bang Broccoli (vgn),International
Calamari Roll,Cucumber & Avocado Roll ,International,Daikon Roll (vgn),International,Fire Roasted Tomato Salsa (vgn),International,Hunan Noodles with Spicy Pork Sauce,International
Asparagus & Egg Roll (v),Salmon Roll,International,Daikon Roll ,International,Cucumber & Avocado Roll (vgn),International,Korean BBQ Sauce (vgn),International
Grass Fed Burger,Grilled Turkey Burger,The Grill,Black Bean Burger (vgn),The Grill,Vegetarian Cuban Sandwich (v),The Grill,Cheeseburger,The Grill
Shoestring Fries (vgn),Brussel Hash (v),The Grill,Grilled Cheese Chile & Veggie on Sour(v,The Grill,Scrambled Eggs w/Cheese & Mushroom ,The Grill,Grilled Cheese and Tomato on Wheat (v),The Grill
Focaccia with Vegetables & Pesto (v),Potatoes O'Brien ,The Grill,Egg White and Vegetable Omelet ,The Grill,Cottage Fried Potatoes (vgn),The Grill,Fresh Sauteed Spinach ,The Grill
Pickled Red Onion (vgn),Caramelized Onion (vgn),The Grill,Chinese Stir-Fried Tomatoes & Eggs (v),The Grill,Mexican Scrambled Eggs (v),The Grill,Sauteed Kale ,The Grill
Sweet and Spicy Tofu (vgn),Bulgur Wheat (vgn),Salad Bar Featured Items,Sweet and Spicy Tofu ,Salad Bar Featured Items,Cabbage Cilantro Slaw ,Salad Bar Featured Items,Bulgur Wheat ,Salad Bar Featured Items
Quattro Formaggio Pizza on White (v),White Pizza w/Bacon & Caramelized Onion,The Brick,Tomato Basil Pizza on White (v),The Brick,Three Cheese Pizza on White ,The Brick,Sausage Mushroom Pizza,The Brick
Fettuccine Alfredo (v),Spaghetti ,The Brick,Chilaquiles (No Egg),The Brick,Rigatoni Mozzarella ,The Brick,Maple Syrup ,The Brick
Marble Cake (v),Raspberry White Chocolate Scone (v),Bakery,Chocolate Flourless Cake ,Bakery,Chocolate Chocolate Chip Bar (v),Bakery,Granola Bar  ,Bakery
Arroz con Pollo,Grilled Chicken Breast,Chef's Choice,Fresh Cauliflower & Carrots (vgn),Chef's Choice,Cilantro Lime Crema (v),Chef's Choice,Steamed Broccoli & Cauliflower (vgn),Chef's Choice
Bean Rice & Cheese Burrito (v),Vietnamese Beef BBQ Sub Sandwich,Chef's Choice,Hot Turkey Sandwich,Chef's Choice,Taco Rajas (vgn),Chef's Choice,Chicken Mole Enchiladas,Chef's Choice
Fire Roasted Tomato Chipotle Salsa (vgn),Creamy Chipotle Salsa ,Chef's Choice,Salsa de Tomatillo Verde (vgn),Chef's Choice,Salsa (vgn),Chef's Choice,Creamy Chipotle Salsa (v),Chef's Choice
Cauliflower Au Gratin (v),Pork Chinese BBQ,Chef's Choice,Lettuce & Cheese &Tomatoes (vgn),Chef's Choice,Shredded Cheddar Cheese,Chef's Choice,Cilantro Lime Crema (v),Chef's Choice
Korean Style Pork Ribs,Miso Ramen (v),International,Hot & Sour Pork Ribbons,International,Spicy Shrimp Sushi Plate,International,Chicken Shoyu,International
Korean BBQ Sauce (vgn),Cucumber & Avocado Roll (vgn),International,Chile Salsa ,International,Daikon Roll ,International,Asparagus & Egg Roll (v),International
Vegetable Fried Rice (vgn),Seasoned Sweet Potato Halves ,International,Spanish Rice with Cilantro (vgn),International,Grilled Ahi Tuna Bowl with Brown Rice,International,California Club Roll with Brown Rice,International
Fresh Spinach with Garlic (vgn),Seasoned Sweet Potato Halves (vgn),International,Vegetable Fried Rice,International,Spinach with Garlic & Ginger (vgn),International,Orange Infused Green Beans (vgn),International
Calamari Sushi Plate,Vietnamese Turkey Banh Mi,International,Spicy Scallop Sushi Plate,International,Tofu Teriyaki Bowl (vgn),International,Honey Sriracha Glaze Brussel Sprouts (v),International
Pineapple (vgn),Italian Tomato Panini (v),Greens & Grains,Sliced Pineapple ,Greens & Grains,Rainbow Peanut Noodles w/Chicken(w/nuts),Greens & Grains,Whole Plain Greek Yogurt ,Greens & Grains
Grits (vgn),Honeydew Melon (vgn),Greens & Grains,Fresh Strawberry ,Greens & Grains,Strawberry Yogurt ,Greens & Grains,Fresh Strawberry (vgn),Greens & Grains
Hawaiian Sweet Roll (v),Thick Focaccia Bread (vgn),Bakery,Strawberry Cheese Bread Pudding(w/nuts(v,Bakery,Challah Bread ,Bakery,Hawaiian Sweet Bread (v),Bakery
Cinnamon Coffee Cake (v),Blueberry Coffee Cake ,Bakery,Snickerdoodle Cookie ,Bakery,Blueberry Coffee Cake (v),Bakery,Pecan Sour Cream Coffee Cake (w/nuts)(v),Bakery
Whole Wheat French Toast (v),French Toast w/ Strawberry Sauce ,The Grill,Whole Wheat French Toast ,The Grill,Sourdough French Toast ,The Grill,Sourdough French Toast (v),The Grill
Roasted Breakfast Potatoes (vgn),Potato Latkes ,The Grill,Refried Beans ,The Grill,Roasted Breakfast Potatoes ,The Grill,Roasted Breakfast Potato (vgn),The Grill
Mixed Greens Side Salad (vgn),Fresh Vegetable Medley w/Spinach ,The Grill,Roasted Breakfast Potato ,The Grill,Roasted Breakfast Potato (vgn),The Grill,Roasted Breakfast Potatoes (vgn),The Grill
Rainbow Peanut Noodles w/Chicken(w/nuts),Sliced Pineapple ,Greens & Grains,Whole Plain Greek Yogurt ,Greens & Grains,Pineapple (vgn),Greens & Grains,Italian Tomato Panini (v),Greens & Grains
Italian Tomato Panini (v),Pineapple (vgn),Greens & Grains,Sliced Pineapple ,Greens & Grains,Rainbow Peanut Noodles w/Chicken(w/nuts),Greens & Grains,Whole Plain Greek Yogurt ,Greens & Grains
Sliced Swiss Cheese (v),Blueberry Yogurt (v),Greens & Grains,Sliced Pineapple (vgn),Greens & Grains,Strawberry Yogurt (v),Greens & Grains,Buckwheat Granola (w/nuts) (v),Greens & Grains
Vegetable Minestrone Soup (vgn),Spicy Black Bean Soup (v),Greens & Grains,Roasted Tomato Soup (v),Greens & Grains,Tomato Basil Soup (v),Greens & Grains,Turkey Vegetable Soup,Greens & Grains
Broccolini & Salami Stromboli,Fresh Basil Pesto ,The Brick,Chicken Chilaquiles,The Brick,Italian Sausage & Basil Stromboli,The Brick,Butternut Squash Risotto (v),The Brick
Sausage Marinara Sauce,Tomato Cream Sauce (v),The Brick,Bolognese Sauce with Pancetta,The Brick,Bolognese Sauce,The Brick,Spicy Marinara Sauce ,The Brick
Alburro Sauce (v),Roasted Pepper Tomato Sausage Sauce,The Brick,White Wine Garlic Sauce with Chicken,The Brick,Marinara Sauce with Sausage,The Brick,Alburro Sauce ,The Brick
Whole Wheat French Bread (v),Everything Naan (v),Bakery,Irish Soda Bread (v),Bakery,Thick Focaccia Bread (vgn),Bakery,Hawaiian Sweet Roll (v),Bakery
M&M Bar (w/nuts) (v),Oatmeal Raisin Bar (w/nuts) (v),Bakery,Snickerdoodle Cookie (v),Bakery,New York Style Crumb Cake (vgn),Bakery,Raspberry Swirl Coffee Cake,Bakery
Chocolate Mint Cupcake (v),Blueberry Coffee Cake ,Bakery,Snickerdoodle Cookie ,Bakery,Blueberry Coffee Cake (v),Bakery,Pecan Sour Cream Coffee Cake (w/nuts)(v),Bakery
Grilled Rockfish with Italian Spice,Steamed Fresh Broccoli ,Chef's Choice,Thai & Peanut Coleslaw  ,Chef's Choice,Butternut Squash Risotto ,Chef's Choice,Lettuce & Cheese &Tomatoes (vgn),Chef's Choice
Steamed Red Potatoes w/Parsley (vgn),Fresh Spinach with Garlic ,Chef's Choice,Ranch Potato Salad (v),Chef's Choice,Chicken Chile Verde with Corn Tortillas,Chef's Choice,Pinto Beans (vgn),Chef's Choice
Sauteed Kale Carrot & Snow Peas (vgn),Butternut Squash Hummus (vgn),Chef's Choice,Roasted Broccoli ,Chef's Choice,Shredded Braised Beef,Chef's Choice,Radish and Jalapeno Slaw (vgn),Chef's Choice
Chicken Pad Thai with Peanut (w/nuts),Harissa Lentils w/Pickled Onion (v),International,Chicken Tikka Masala,International,Roasted Broccoli and Red Onion ,International,Stir Fried Bok Choy ,International
Spicy Shrimp Sushi,Spicy Tuna Sushi Plate,International,Pork Mu Shu,International,Stir Fried Bok Choy (vgn),International,California Club Sushi Plate,International
Cucumber & Avocado Roll (vgn),Daikon Roll ,International,Korean BBQ Sauce (vgn),International,Asparagus & Egg Roll (v),International,Salmon Roll,International
Grilled BBQ Chicken Sandwich,Grilled Vegetable and Bean Burrito (vgn),The Grill,Baked Hawaiian Vegetarian Sandwich (v),The Grill,Cheese Quesadilla with Chiles ,The Grill,Cheese Quesadilla (v),The Grill
Cheese Quesadilla (v),Baked Hawaiian Vegetarian Sandwich (v),The Grill,Grilled BBQ Chicken Sandwich,The Grill,Grilled Mediterranean Sandwich,The Grill,Mushroom Lentil Burger ,The Grill
Sriracha Mayonnaise (v),Brussel Hash ,The Grill,Grilled Ham,The Grill,Steamed Fresh Broccoli (vgn),The Grill,Sauteed Fresh Cauliflower ,The Grill
Classic BBQ Sauce (v),Red Chimichurri Sauce ,The Grill,Tartar Sauce ,The Grill,Spicy Mustard Sauce (vgn),The Grill,Chimichurri Sauce (vgn),The Grill
Brownie Pie (v),Banana Muffin (v),Bakery,Coconut Chiffon Cake ,Bakery,Cinnamon Coffee Cake ,Bakery,Raspberry Swirl Coffee Cake,Bakery
Chicken Piccata,Cucumber Tzatziki (v),Chef's Choice,Black Bean Chilaquiles,Chef's Choice,Moroccan Braised Beef,Chef's Choice,Lettuce/Cheese/Tomatoes (v),Chef's Choice
Farfalle Pasta (vgn),Spinach and Matzo Lasagna ,Chef's Choice,Pasta Shells w/Eggplant & Marinara (vgn),Chef's Choice,Baked Pesto Pasta w/Chicken,Chef's Choice,Lasagna Bolognese,Chef's Choice
Baked Rigatoni (v),Fried Eggs ,Chef's Choice,Radish and Jalapeno Slaw (vgn),Chef's Choice,Tangy Apple Cabbage Slaw ,Chef's Choice,Roasted Yam w/Rosemary & Chile ,Chef's Choice
Steamed Broccoli & Cauliflower (vgn),Carrots with Fresh Thyme (vgn),Chef's Choice,Rosemary Roasted Chicken Quarters,Chef's Choice,Meatloaf,Chef's Choice,Calabaza con Queso,Chef's Choice
Fish Taco,Taco Rajas ,International,Cuban Sandwich,International,Thai Chicken Taco,International,Shredded Beef Enchiladas,International
Spanish Rice with Cilantro (vgn),Seasoned Sweet Potato Halves ,International,Grilled Ahi Tuna Bowl with Brown Rice,International,Vegetable Fried Rice (vgn),International,California Club Roll with Brown Rice,International
Fire Roasted Tomato Salsa (vgn),Hunan Noodles with Spicy Pork Sauce,International,Cucumber & Avocado Roll ,International,Calamari Roll,International,Grilled Pineapple/Mango Salsa (vgn),International
Grilled Zucchini & Tomatoes (vgn),Lettuce/Cheese/Tomatoes ,International,Tandoori Spiced Chicken,International,Chicken Chow Mein,International,Bang Bang Broccoli (vgn),International
Spicy Shrimp Sushi Plate,Chicken Shoyu,International,Miso Ramen ,International,Lemon Ginger Chicken,International,Beef Pho,International
White Pizza w/Bacon & Caramelized Onion,Quattro Formaggio Pizza on White (v),The Brick,Tomato Basil Pizza on White (v),The Brick,Three Cheese Pizza on White ,The Brick,Sausage Mushroom Pizza,The Brick
Fresh Tomato Basil Garlic Pasta (vgn),Pasta with Grilled Vegetables ,The Brick,Pasta Primavera w/Tomato Sauce ,The Brick,Farfalle Pasta ,The Brick,Penne Pasta with Pesto (v),The Brick
Pasta Carbonara,Corn Pasta Sauce (v),The Brick,Penne Arrabiata with Chicken,The Brick,Whole Wheat Penne Pasta ,The Brick,Linguini Pasta (vgn),The Brick
Applesauce Coffee Cake (v),Cinnamon Coffee Cake (v),Bakery,Peanut Butter Fudge Cupcake  ,Bakery,Very Chocolate Cake w/Choc Icing (v),Bakery,Oatmeal Raisin Bar  ,Bakery
Huevos Rancheros (v),Steamed Zucchini & Crookneck Squash,Chef's Choice,BBQ Chicken Thigh,Chef's Choice,Cabbage Cilantro Slaw (vgn),Chef's Choice,Tangy Apple Cabbage Slaw ,Chef's Choice
Pinto Beans (vgn),Fresh Spinach with Garlic ,Chef's Choice,Fresh Green Beans ,Chef's Choice,Steamed Red Potatoes w/Parsley (vgn),Chef's Choice,Chicken Chile Verde with Corn Tortillas,Chef's Choice
Salsa (vgn),Creamy Chipotle Salsa (v),Chef's Choice,Salsa de Tomatillo Verde (vgn),Chef's Choice,Tortilla Chips & Salsa ,Chef's Choice,Creamy Chipotle Salsa ,Chef's Choice
Black Bean & Rice Quesadilla (v),Breakfast Quesadilla ,Chef's Choice,Quesadilla w/Roasted Poblano Chiles(v),Chef's Choice,Pita Sandwich w/Hummus & Tabouli (v),Chef's Choice,Tacos Al Pastor,Chef's Choice
Greens and Beans Soup (vgn),Spicy Navy Bean Soup (vgn),Chef's Choice,Vegetable Minestrone Soup ,Chef's Choice,Matzo Ball Chicken Soup,Chef's Choice,Beef Stew,Chef's Choice
Cage Free Scrambled Eggs w/Vegetables(v),Mixed Greens Side Salad ,The Grill,Cottage Fried Potatoes ,The Grill,Fresh Sauteed Spinach (vgn),The Grill,Home Fried Potatos ,The Grill
Banana Chocolate Chip Pancakes (v),Buttermilk Pancakes (v),The Grill,Whole Wheat Banana Pancake (v),The Grill,Blueberry Pancakes (v),The Grill,Whole Wheat Pancake (v),The Grill
Sausage Links,Housemade Spicy Ketchup (vgn),The Grill,Grilled Cheese and Tomato on Wheat ,The Grill,Grilled Cheese on Sourdough ,The Grill,Bacon,The Grill
Sauteed Zucchini with Garlic (vgn),Pumpkin Seed Pesto (v),The Grill,Fresh Cage Free Scrambled Eggs ,The Grill,Shoestring Fries ,The Grill,Housemade Spicy Ketchup (vgn),The Grill
Jasmine Rice (vgn),Marinated Broccoli & Bean Salad (vgn),Greens & Grains,Organic Baby Spinach ,Greens & Grains,Strawberry Salad w/Poppyseed Dressing(v),Greens & Grains,Baked Sweet Potato ,Greens & Grains
Tomato Basil Pizza on Wheat (v),Garlic Pizza on Wheat (v),The Brick,Tomato Basil Pizza on White ,The Brick,Three Cheese Pizza on Wheat ,The Brick,Cheeseburger Pizza,The Brick
Fusilli w/Roasted Vegetable & Asiago (v),Risotto with Fresh Vegetables (vgn),The Brick,Roasted Vegetable Marinara Sauce ,The Brick,Sweet Potato Chicken Flatbread,The Brick,Spinach & Ricotta Flatbread (v),The Brick
Mexican Chocolate Cake (v),Mint Chocolate Chip Cookie ,Bakery,Killer Brownie (w/nuts) (v),Bakery,Mocha Cupcake (v),Bakery,Blueberry Scone ,Bakery
Cheese Bread (v),Zucchini Bread  ,Bakery,Carrot Walnut Bread (w/nuts) (v),Bakery,Wheat Germ Bread ,Bakery,Hawaiian Sweet Bread ,Bakery
Rotisserie Pork Loin,Turkey Melt,Chef's Choice,Couscous w/Butternut Squash ,Chef's Choice,Sauteed Kale (vgn),Chef's Choice,Sauteed Zucchini with Garlic ,Chef's Choice
Black Magic Plum Sauce,Tortilla Chips & Salsa ,Chef's Choice,Tortilla Chips & Salsa (vgn),Chef's Choice,Creamy Chipotle Salsa (v),Chef's Choice,Salsa (vgn),Chef's Choice
Oven Browned Potatoes (vgn),Black Beans (vgn),Chef's Choice,Vegetable Fajita (v),Chef's Choice,Rice Pilaf (v),Chef's Choice,Roasted Root Vegetables ,Chef's Choice
Thai Style Chicken Drumstick,Roasted Cauliflower w/Garlic ,International,Creole Shrimp Mofongo,International,Cajun Chicken Jambalaya,International,Hot & Sour Pork Ribbons,International
Spinach with Garlic & Ginger (vgn),Orange Infused Green Beans (vgn),International,Pilaf Style Rice with Corn,International,Fresh Spinach with Garlic (vgn),International,Seasoned Sweet Potato Halves (vgn),International
Spicy Tuna Brown Rice Sushi Plate,Moo Shu Vegetables with Tofu (vgn),International,Seasoned Vegetable Medley ,International,Vegetable Fried Rice (vgn),International,Sauteed Vegetables Rice and Beans (v),International
Vegetable Roll with Brown Rice (vgn),Spinach Stir Fried with Garlic (vgn),International,Vegetable Roll ,International,Creole Beans and Rice (vgn),International,Mujaddara Lentils and Rice (v),International
Fresh Strawberry (vgn),Quinoa Breakfast Bowl  ,Greens & Grains,Strawberry Yogurt ,Greens & Grains,Granola Cantaloupe Parfait ,Greens & Grains,Granola Cantaloupe Parfait (v),Greens & Grains
8 Grain Hot Cereal (vgn),8 Grain Hot Cereal ,Greens & Grains,Bulgur Hot Cereal ,Greens & Grains,Bulgur Hot Cereal (vgn),Greens & Grains,Make Your Own Waffle (v),Greens & Grains
Steamed White Rice (vgn),Long Grain Rice (vgn),Greens & Grains,Wild Rice ,Greens & Grains,Brown Rice ,Greens & Grains,Wild Rice (vgn),Greens & Grains
Salami Pizza,Cherry Tomato Goat Cheese Herb Pizza ,The Brick,Chicken Pesto Pizza,The Brick,Three Cheese Pizza on Wheat ,The Brick,Chicken Florentine Pizza w/White Sauce,The Brick
Chicken Chilaquiles,Italian Sausage & Basil Stromboli,The Brick,Fresh Basil Pesto ,The Brick,Fettuccine Alfredo ,The Brick,Chilaquiles (No Egg) (v),The Brick
Mushroom Cream Sauce (v),Mustard Chicken Sauce,The Brick,Marinara Sauce ,The Brick,White Wine Garlic Sauce with Shrimp,The Brick,Tomato Basil Cream Sauce (v),The Brick
Chickpea Pasta,Linguini Pasta ,The Brick,Fettuccine Pasta ,The Brick,Pasta with Grilled Vegetables (vgn),The Brick,Whole Wheat Penne Pasta (vgn),The Brick
Orange Scone (v),Brownie Matzo  ,Bakery,Fluffy Almond Sugar Cookie ,Bakery,Vanilla Cupcake w/Strawberry Icing (v),Bakery,Shortbread Cookie (v),Bakery
Hot Turkey Sandwich,Taco Rajas (vgn),Chef's Choice,Vietnamese Beef BBQ Sub Sandwich,Chef's Choice,Bean Rice & Cheese Burrito (v),Chef's Choice,Vegetable Wrap (vgn),Chef's Choice
Grilled Cheese on Sourdough (v),Southwest Quinoa & Black Bean Bake ,Chef's Choice,Pita Chips (v),Chef's Choice,Roasted Cauliflower with Cumin (vgn),Chef's Choice,Honey Sriracha Glaze Brussel Sprouts ,Chef's Choice
Spicy Navy Bean Soup (vgn),Greens and Beans Soup (vgn),Chef's Choice,Vegetable Minestrone Soup ,Chef's Choice,Vegetable Soup ,Chef's Choice,Beef Stew,Chef's Choice
Scrambled Eggs with Ham & Cheese,Fresh Cage Free Scrambled Eggs (v),The Grill,Cage Free Scrambled Egg Whites (v),The Grill,Housemade Ketchup (vgn),The Grill,Pickled Red Onion ,The Grill
Cauliflower w/Sugar Snap Peas (vgn),Sauteed Kale ,The Grill,Chinese Stir-Fried Tomatoes & Eggs (v),The Grill,Fresh Cauliflower (vgn),The Grill,Pickled Red Onion (vgn),The Grill
Roasted Breakfast Potato (vgn),Mixed Greens Side Salad (vgn),The Grill,Fresh Vegetable Medley w/Spinach ,The Grill,Roasted Breakfast Potato ,The Grill,Roasted Breakfast Potatoes (vgn),The Grill
Bolognese Sauce with Pancetta,Tomato Cream Sauce (v),The Brick,Sausage Marinara Sauce,The Brick,Bolognese Sauce,The Brick,Three Cheese Flatbread ,The Brick
Chicken Chile Verde with Corn Tortillas,Ranch Potato Salad (v),Chef's Choice,Steamed Red Potatoes w/Parsley (vgn),Chef's Choice,Fresh Spinach with Garlic ,Chef's Choice,Pinto Beans (vgn),Chef's Choice
Tortilla Chips & Salsa (vgn),Black Magic Plum Sauce,Chef's Choice,Tortilla Chips & Salsa ,Chef's Choice,Fire Roasted Tomato Salsa ,Chef's Choice,Creamy Chipotle Salsa (v),Chef's Choice
Lettuce & Cheese &Tomatoes (vgn),Shredded Cheddar Cheese,Chef's Choice,Cauliflower Au Gratin (v),Chef's Choice,Pork Chinese BBQ,Chef's Choice,Cilantro Lime Crema (v),Chef's Choice
Hoisin Chicken,Braised Bok Choy (vgn),International,Bok Choy & Nappa Cabbage w/Sesame,International,Mashed Yams (v),International,Chicken General Tso's,International
Spicy Eggplant Broc w/Ginger Sauce(vgn),California Club Roll,International,Chermoula Sauce (vgn),International,Salsa ,International,Chicken Satay & Peanut Sauce (w/nuts),International
California Club Sushi Plate,Pork Mu Shu,International,Cilantro & Onion Mix ,International,Spicy Shrimp Sushi,International,Spicy Tuna Sushi Plate,International
Tempura Onion Roll (v),Asparagus & Egg Roll ,International,Salsa ,International,Spicy Tuna Roll,International,Shanghai Noodles & Chix w/Bean Sauce,International
Peach Yogurt (v),Granola Black & Blue Parfait (v),Greens & Grains,Spicy Kale Caesar ,Greens & Grains,Sliced Swiss Cheese ,Greens & Grains,Sliced Jack Cheese (v),Greens & Grains
Blueberry Coffee Cake (v),Pecan Sour Cream Coffee Cake (w/nuts)(v),Bakery,Very Chocolate Cake w/Choc Icing (v),Bakery,Granola Bar (w/nuts) (v),Bakery,Chocolate Mint Cupcake (v),Bakery
Mexican Scrambled Eggs (v),Grilled Cheddar On Wheat ,The Grill,Caramelized Onion (vgn),The Grill,Pickled Red Onion (vgn),The Grill,Sauteed Cabbage & Tomatoes ,The Grill
Sourdough French Toast (v),Sourdough French Toast ,The Grill,Whole Wheat French Toast ,The Grill,French Toast w/ Strawberry Sauce ,The Grill,Whole Wheat French Toast (v),The Grill
Fresh Sauteed Spinach (vgn),Cottage Fried Potatoes ,The Grill,Mixed Greens Side Salad ,The Grill,Cage Free Scrambled Eggs w/Vegetables(v),The Grill,Fried Potato with Onion (vgn),The Grill
Cherry Tomato White Bean Salad (vgn),Roasted Vegetable Panini (vgn),Greens & Grains,Ensalada de Fruta con Tajin (vgn),Greens & Grains,Jasmine Rice ,Greens & Grains,Vegetable & Quinoa Salad ,Greens & Grains
Chipotle Hummus & Quinoa Wrap (vgn),Panini Pizza (v),Greens & Grains,Chicken Fajita Wrap,Greens & Grains,Panini Pizza ,Greens & Grains,Grilled Cajun Chicken Wrap,Greens & Grains
Quinoa (vgn),Sliced Provolone Cheese (v),Greens & Grains,Blueberry Yogurt ,Greens & Grains,Cantaloupe ,Greens & Grains,Chicken Congee,Greens & Grains
Tortilla Soup (vgn),Tortilla Soup ,Greens & Grains,Turkey Rice Soup,Greens & Grains,Minestrone Soup ,Greens & Grains,Sweet Potato Coconut Soup (vgn),Greens & Grains
Raita Sauce (v),Raita Sauce ,Salad Bar Featured Items,Spicy Marinara Sauce ,The Brick,Roasted Tomato Salsa ,International,Pearl Barley (vgn),Salad Bar Featured Items
Sweet &Tangy Pickled Red Onion (vgn),Couscous (vgn),Salad Bar Featured Items,Sugar Snap Peas (vgn),Salad Bar Featured Items,Orange Pickled Carrot Coins ,Salad Bar Featured Items,Ginger Sesame Tofu (vgn),Salad Bar Featured Items
Bulgur Wheat (vgn),Sweet and Spicy Tofu ,Salad Bar Featured Items,Cabbage Cilantro Slaw ,Salad Bar Featured Items,Sweet and Spicy Tofu (vgn),Salad Bar Featured Items,Bulgur Wheat ,Salad Bar Featured Items
Italian Sausage & Basil Stromboli,Chicken Chilaquiles,The Brick,Chilaquiles (No Egg) (v),The Brick,Fettuccine Alfredo ,The Brick,Fresh Basil Pesto ,The Brick
Fresh Basil Pesto (v),Chilaquiles (No Egg),The Brick,Spaghetti (vgn),The Brick,Fettucine Alfredo,The Brick,Mushroom Carbonara ,The Brick
White Wine Garlic Sauce with Chicken,Alburro Sauce ,The Brick,Alburro Sauce (v),The Brick,Roasted Pepper Tomato Sausage Sauce,The Brick,Marinara Sauce with Sausage,The Brick
Herb Focaccia Bread (vgn),Crusty French Bread ,Bakery,Blueberry Bread (v),Bakery,Pesto Bread ,Bakery,Homemade Cinnamon Rolls ,Bakery
Apple Kuchen (v),Cream Cheese (v),Bakery,Brioche ,Bakery,Apple Kuchen ,Bakery,Apple Crisp (vgn),Bakery
Oatmeal Raisin Bar (w/nuts) (v),M&M Bar (w/nuts) (v),Bakery,Snickerdoodle Cookie (v),Bakery,New York Style Crumb Cake (vgn),Bakery,Chocolate Chocolate Chip Bar ,Bakery
Pulled Pork Buffalo Style Sandwich,Grilled Chicken Taco,Chef's Choice,Breakfast Burrito ,Chef's Choice,Baked Hawaiian Ham & Turkey Sandwich,Chef's Choice,Cheese Enchilada ,Chef's Choice
Egg & Arugula & Herb Tartine (v),Southwest Quinoa & Black Bean Bake ,Chef's Choice,Pita Chips (v),Chef's Choice,Roasted Cauliflower with Cumin (vgn),Chef's Choice,Honey Sriracha Glaze Brussel Sprouts ,Chef's Choice
Cabbage Cilantro Slaw (vgn),BBQ Chicken Thigh,Chef's Choice,Huevos Rancheros (v),Chef's Choice,Steamed Zucchini & Crookneck Squash,Chef's Choice,Ground Beef and Bean Tostada,Chef's Choice
Teriyaki Chicken Stir Fry,Broccoli Spinach Bok Choy Stir Fry ,International,Teriyaki Broccoli Beef Stir Fry,International,Broccoli Spinach Bok Choy Stir Fry (vgn),International,Vegetable Medley Stir Fry ,International
Stir Fried Chinese Greens (vgn),Seasoned Vegetable Medley (vgn),International,Thai Tofu Curry w/ Vegetables ,International,Thai Vegetable & Peanut Noodle(w/nut,International,Vegetable Roll (vgn),International
California Roll,Spicy Scallop Sushi Roll,International,Tempura Onion Roll ,International,Roasted Tomato Salsa ,International,Salmon Roll,International
Grilled Cheese and Tomato on Wheat (v),Scrambled Eggs w/Cheese & Mushroom ,The Grill,Grilled Cheese Chile & Veggie on Sour(v,The Grill,Housemade Ketchup ,The Grill,Shoestring Fries (vgn),The Grill
Housemade Spicy Ketchup (vgn),Turkey Bacon,The Grill,Grilled Cheese on Sourdough ,The Grill,Sausage Links,The Grill,Hash Browns ,The Grill
Canadian Bacon and Pineapple Pizza,Three Cheese Pizza on White (v),The Brick,Cheeseburger Pizza,The Brick,Three Cheese Pizza on White ,The Brick,Tomato Basil Pizza on White (v),The Brick
Russian Bread (v),Herb Focaccia Bread ,Bakery,Three Grain Bread (v),Bakery,Flour Tortilla ,Bakery,Blueberry Bread ,Bakery
Pork Chinese BBQ,Cauliflower Au Gratin (v),Chef's Choice,Shredded Cheddar Cheese,Chef's Choice,Lettuce & Cheese &Tomatoes (vgn),Chef's Choice,Cilantro Lime Crema (v),Chef's Choice
Red Potatoes with Rosemary (vgn),Refried Beans (vgn),Chef's Choice,Potato Gorda with Black Beans ,Chef's Choice,Refried Black Beans (vgn),Chef's Choice,Chipotle Roasted Potatoes (vgn),Chef's Choice
Vegetables Steamed Brown Rice (vgn),Potato Vegetable Kugel ,Chef's Choice,Brisket and Potato Kugel,Chef's Choice,Spanish Rice w/Roasted Corn (vgn),Chef's Choice,Roasted Potato Wedges (vgn),Chef's Choice
Tandoori Spiced Chicken,Lettuce/Cheese/Tomatoes ,International,Grilled Zucchini & Tomatoes (vgn),International,Bang Bang Broccoli (vgn),International,Chicken Chow Mein,International
Mujaddara Lentils and Rice (v),Spinach Stir Fried with Garlic (vgn),International,Vegetable Roll with Brown Rice (vgn),International,Vegetable Roll ,International,Orange Infused Green Beans ,International
Seasoned Vegetable Medley (vgn),Stir Fried Chinese Greens (vgn),International,Thai Tofu Curry w/ Vegetables ,International,Thai Vegetable & Peanut Noodle(w/nut,International,Vegetable Roll (vgn),International
California Sushi Plate,Spicy Tuna Bowl,International,Stir Fried Bok Choy ,International,Chicken Tikka Masala,International,Braised Bok Choy (vgn),International
Granola Cantaloupe Parfait (v),Dragon Noodles ,Greens & Grains,Granola Raspberry Parfait (v),Greens & Grains,Sliced Cheddar Cheese ,Greens & Grains,Italian Panini,Greens & Grains
