Food Item,Rec 1,Rec 1 Location,Rec 2,Rec 2 Location,Rec 3,Rec 3 Location,Rec 4,Rec 4 Location
Three Cheese Pizza on White (v),Canadian Bacon and Pineapple Pizza,The Brick,Cheeseburger Pizza,The Brick,Three Cheese Pizza on White ,The Brick,Tomato Basil Pizza on White (v),The Brick
Fettuccine Pasta (vgn),Pasta Primavera ,The Brick,Grilled Salmon Pasta w/Roma Tomato,The Brick,Chef's Salmon Pasta,The Brick,Pasta Penne with Chicken & Mushrooms,The Brick
Tomato Cream Sauce (v),Sausage Marinara Sauce,The Brick,Bolognese Sauce with Pancetta,The Brick,Bolognese Sauce,The Brick,Three Cheese Flatbread ,The Brick
Potato Bread (v),Potato Bread ,Bakery,Chocolate Cookie ,Bakery,Baked Potato (vgn),Greens & Grains,Vegetable Fajita (v),Chef's Choice
Chocolate Chocolate Chip Bar (v),Marble Cake (v),Bakery,Raspberry White Chocolate Scone (v),Bakery,Chocolate Flourless Cake ,Bakery,Granola Bar  ,Bakery
Coconut Cream Pie (v),Cream Cheese Pie ,Bakery,White Cupcake with Buttercream Icing ,Bakery,Fluffy Almond Sugar Cookie (w/nuts)(vgn),Bakery,Blueberry Scone (v),Bakery
Grilled Chicken Taco,Breakfast Burrito ,Chef's Choice,Pulled Pork Buffalo Style Sandwich,Chef's Choice,Baked Hawaiian Ham & Turkey Sandwich,Chef's Choice,Cheese Enchilada ,Chef's Choice
Refried Beans (vgn),Red Potatoes with Rosemary (vgn),Chef's Choice,Potato Gorda with Black Beans ,Chef's Choice,Refried Black Beans (vgn),Chef's Choice,Roasted Potato Wedges ,Chef's Choice
Salsa de Tomatillo Verde (vgn),Fire Roasted Tomato Chipotle Salsa (vgn),Chef's Choice,Creamy Chipotle Salsa ,Chef's Choice,Salsa (vgn),Chef's Choice,Creamy Chipotle Salsa (v),Chef's Choice
Carrots with Fresh Thyme (vgn),Steamed Broccoli & Cauliflower (vgn),Chef's Choice,Rosemary Roasted Chicken Quarters,Chef's Choice,Meatloaf,Chef's Choice,Calabaza con Queso,Chef's Choice
Cilantro & Onion Mix (vgn),Chicken White Bean Chili,Chef's Choice,Mojo Roasted Chicken (Pollo Asado),Chef's Choice,Ratatouille (vgn),Chef's Choice,Turkey Meatloaf,Chef's Choice
Pork Mu Shu,California Club Sushi Plate,International,Spicy Shrimp Sushi,International,Spicy Tuna Sushi Plate,International,Cilantro & Onion Mix ,International
Moo Shu Vegetables with Tofu (vgn),Seasoned Vegetable Medley ,International,Spicy Tuna Brown Rice Sushi Plate,International,Vegetable Fried Rice (vgn),International,Seasoned Sweet Potato Halves ,International
Sticky Rice (vgn),Spinach with Garlic & Ginger ,International,Sauteed Vegetables Rice and Beans ,International,California Club Roll with Brown Rice,International,Grilled Ahi Tuna Bowl with Brown Rice,International
